POLYGON ((-179.9999 -89.9999,-179.9999 -0.0,0 0,-0.0 -89.9999,-179.9999 -89.9999))
POLYGON ((5.976559179687499 50.27338164062499,5.976559179687499 50.449162695312495,6.328121484374998 50.449162695312495,6.328121484374998 50.27338164062499,5.976559179687499 50.27338164062499))
POLYGON ((5.624996875 50.449162695312495,5.624996875 50.62494375,5.976559179687499 50.62494375,5.976559179687499 50.449162695312495,5.624996875 50.449162695312495))
POLYGON ((5.976559179687499 50.449162695312495,5.976559179687499 50.62494375,6.328121484374998 50.62494375,6.328121484374998 50.449162695312495,5.976559179687499 50.449162695312495))
POLYGON ((6.328121484374998 50.27338164062499,6.328121484374998 50.449162695312495,6.679683789062498 50.449162695312495,6.679683789062498 50.27338164062499,6.328121484374998 50.27338164062499))
POLYGON ((6.679683789062498 50.27338164062499,6.679683789062498 50.449162695312495,7.031246093749998 50.449162695312495,7.031246093749998 50.27338164062499,6.679683789062498 50.27338164062499))
POLYGON ((6.328121484374998 50.449162695312495,6.328121484374998 50.62494375,6.679683789062498 50.62494375,6.679683789062498 50.449162695312495,6.328121484374998 50.449162695312495))
POLYGON ((6.679683789062498 50.449162695312495,6.679683789062498 50.62494375,7.031246093749998 50.62494375,7.031246093749998 50.449162695312495,6.679683789062498 50.449162695312495))
POLYGON ((7.031246093749998 49.921819531249994,7.031246093749998 50.097600585937478,7.382808398437497 50.097600585937478,7.382808398437497 49.921819531249994,7.031246093749998 49.921819531249994))
POLYGON ((7.382808398437497 49.921819531249994,7.382808398437497 50.097600585937478,7.734370703124998 50.097600585937478,7.734370703124998 49.921819531249994,7.382808398437497 49.921819531249994))
POLYGON ((7.031246093749998 50.097600585937478,7.031246093749998 50.27338164062499,7.382808398437497 50.27338164062499,7.382808398437497 50.097600585937478,7.031246093749998 50.097600585937478))
POLYGON ((7.382808398437497 50.097600585937478,7.382808398437497 50.27338164062499,7.734370703124998 50.27338164062499,7.734370703124998 50.097600585937478,7.382808398437497 50.097600585937478))
POLYGON ((7.734370703124998 49.921819531249994,7.734370703124998 50.097600585937499,8.085933007812498 50.097600585937499,8.085933007812498 49.921819531249994,7.734370703124998 49.921819531249994))
POLYGON ((8.085933007812498 49.921819531249994,8.085933007812498 50.00971005859374,8.261714160156249 50.00971005859374,8.261714160156249 49.921819531249994,8.085933007812498 49.921819531249994))
POLYGON ((8.261714160156249 49.921819531249994,8.261714160156249 50.00971005859374,8.437495312499998 50.00971005859374,8.437495312499998 49.921819531249994,8.261714160156249 49.921819531249994))
POLYGON ((8.085933007812498 50.00971005859374,8.085933007812498 50.097600585937499,8.261714160156249 50.097600585937499,8.261714160156249 50.00971005859374,8.085933007812498 50.00971005859374))
POLYGON ((8.261714160156249 50.00971005859374,8.261714160156249 50.097600585937499,8.437495312499998 50.097600585937499,8.437495312499998 50.00971005859374,8.261714160156249 50.00971005859374))
POLYGON ((7.734370703124998 50.097600585937499,7.734370703124998 50.27338164062499,8.085933007812498 50.27338164062499,8.085933007812498 50.097600585937499,7.734370703124998 50.097600585937499))
POLYGON ((8.085933007812498 50.097600585937499,8.085933007812498 50.27338164062499,8.437495312499998 50.27338164062499,8.437495312499998 50.097600585937499,8.085933007812498 50.097600585937499))
POLYGON ((7.031246093749998 50.27338164062499,7.031246093749998 50.449162695312495,7.382808398437498 50.449162695312495,7.382808398437498 50.27338164062499,7.031246093749998 50.27338164062499))
