POLYGON ((-179.9999 -89.9999,-179.9999 -0.0,0 0,-0.0 -89.9999,-179.9999 -89.9999))
POLYGON ((-0.0 -89.9999,-0.0 -44.99995,89.99995 -44.99995,89.99995 -89.9999,-0.0 -89.9999))
POLYGON ((89.99995 -89.9999,89.99995 -44.99995,179.9999 -44.99995,179.9999 -89.9999,89.99995 -89.9999))
POLYGON ((-0.0 -44.99995,-0.0 -22.499975,44.999975 -22.499975,44.999975 -44.99995,-0.0 -44.99995))
POLYGON ((44.999975 -44.99995,44.999975 -22.499975,89.99995 -22.499975,89.99995 -44.99995,44.999975 -44.99995))
POLYGON ((-0.0 -22.499975,0 0,44.999975 -0.0,44.999975 -22.499975,-0.0 -22.499975))
POLYGON ((44.999975 -22.499975,44.999975 -19.687478125,50.624971875 -19.687478125,50.624971875 -22.499975,44.999975 -22.499975))
POLYGON ((50.624971875 -22.499975,50.624971875 -21.093726562500002,53.437470312499997 -21.093726562500002,53.437470312499997 -22.499975,50.624971875 -22.499975))
POLYGON ((53.437470312499997 -22.499975,53.437470312499997 -21.796850781250001,54.843719531250009 -21.796850781250001,54.843719531250009 -22.499975,53.437470312499997 -22.499975))
POLYGON ((54.843719531250009 -22.499975,54.843719531250009 -21.796850781250001,56.24996875 -21.796850781250001,56.24996875 -22.499975,54.843719531250009 -22.499975))
POLYGON ((53.437470312499997 -21.796850781250001,53.437470312499997 -21.093726562500002,54.843719531250009 -21.093726562500002,54.843719531250009 -21.796850781250001,53.437470312499997 -21.796850781250001))
POLYGON ((54.843719531250009 -21.796850781250001,54.843719531250009 -21.445288671875002,55.546844140624998 -21.445288671875002,55.546844140624998 -21.796850781250001,54.843719531250009 -21.796850781250001))
POLYGON ((55.546844140624998 -21.796850781250001,55.546844140624998 -21.445288671875002,56.24996875 -21.445288671875002,56.24996875 -21.796850781250001,55.546844140624998 -21.796850781250001))
POLYGON ((54.843719531250009 -21.445288671875002,54.843719531250009 -21.2695076171875,55.195281835937514 -21.2695076171875,55.195281835937514 -21.445288671875002,54.843719531250009 -21.445288671875002))
POLYGON ((55.195281835937514 -21.445288671875002,55.195281835937514 -21.2695076171875,55.546844140624998 -21.2695076171875,55.546844140624998 -21.445288671875002,55.195281835937514 -21.445288671875002))
POLYGON ((54.843719531250009 -21.2695076171875,54.843719531250009 -21.093726562500002,55.195281835937514 -21.093726562500002,55.195281835937514 -21.2695076171875,54.843719531250009 -21.2695076171875))
POLYGON ((55.195281835937514 -21.2695076171875,55.195281835937514 -21.181617089843751,55.371062988281246 -21.181617089843751,55.371062988281246 -21.2695076171875,55.195281835937514 -21.2695076171875))
POLYGON ((55.371062988281246 -21.2695076171875,55.371062988281246 -21.181617089843751,55.546844140624998 -21.181617089843751,55.546844140624998 -21.2695076171875,55.371062988281246 -21.2695076171875))
POLYGON ((55.195281835937514 -21.181617089843751,55.195281835937514 -21.093726562500002,55.371062988281246 -21.093726562500002,55.371062988281246 -21.181617089843751,55.195281835937514 -21.181617089843751))
POLYGON ((55.371062988281246 -21.181617089843751,55.371062988281246 -21.093726562500002,55.546844140624998 -21.093726562500002,55.546844140624998 -21.181617089843751,55.371062988281246 -21.181617089843751))
POLYGON ((55.546844140624998 -21.445288671875002,55.546844140624998 -21.2695076171875,55.898406445312496 -21.2695076171875,55.898406445312496 -21.445288671875002,55.546844140624998 -21.445288671875002))
POLYGON ((55.898406445312496 -21.445288671875002,55.898406445312496 -21.2695076171875,56.24996875 -21.2695076171875,56.24996875 -21.445288671875002,55.898406445312496 -21.445288671875002))
POLYGON ((55.546844140624998 -21.2695076171875,55.546844140624998 -21.093726562500002,55.898406445312496 -21.093726562500002,55.898406445312496 -21.2695076171875,55.546844140624998 -21.2695076171875))
POLYGON ((55.898406445312496 -21.2695076171875,55.898406445312496 -21.093726562500002,56.24996875 -21.093726562500002,56.24996875 -21.2695076171875,55.898406445312496 -21.2695076171875))
POLYGON ((50.624971875 -21.093726562500002,50.624971875 -19.687478125,53.437470312499997 -19.687478125,53.437470312499997 -21.093726562500002,50.624971875 -21.093726562500002))
POLYGON ((53.437470312499997 -21.093726562500002,53.437470312499997 -20.39060234375,54.843719531249995 -20.39060234375,54.843719531249995 -21.093726562500002,53.437470312499997 -21.093726562500002))
POLYGON ((54.843719531249995 -21.093726562500002,54.843719531249995 -20.917945507812501,55.195281835937507 -20.917945507812501,55.195281835937507 -21.093726562500002,54.843719531249995 -21.093726562500002))
POLYGON ((55.195281835937507 -21.093726562500002,55.195281835937507 -21.00583603515625,55.371062988281253 -21.00583603515625,55.371062988281253 -21.093726562500002,55.195281835937507 -21.093726562500002))
POLYGON ((55.371062988281253 -21.093726562500002,55.371062988281253 -21.00583603515625,55.546844140624998 -21.00583603515625,55.546844140624998 -21.093726562500002,55.371062988281253 -21.093726562500002))
POLYGON ((55.195281835937507 -21.00583603515625,55.195281835937507 -20.917945507812501,55.371062988281253 -20.917945507812501,55.371062988281253 -21.00583603515625,55.195281835937507 -21.00583603515625))
POLYGON ((55.371062988281253 -21.00583603515625,55.371062988281253 -20.917945507812501,55.546844140624998 -20.917945507812501,55.546844140624998 -21.00583603515625,55.371062988281253 -21.00583603515625))
POLYGON ((54.843719531249995 -20.917945507812501,54.843719531249995 -20.742164453125,55.195281835937507 -20.742164453125,55.195281835937507 -20.917945507812501,54.843719531249995 -20.917945507812501))
POLYGON ((55.195281835937507 -20.917945507812501,55.195281835937507 -20.742164453125,55.546844140624998 -20.742164453125,55.546844140624998 -20.917945507812501,55.195281835937507 -20.917945507812501))
POLYGON ((55.546844140624998 -21.093726562500002,55.546844140624998 -21.005836035156253,55.72262529296875 -21.005836035156253,55.72262529296875 -21.093726562500002,55.546844140624998 -21.093726562500002))
POLYGON ((55.72262529296875 -21.093726562500002,55.72262529296875 -21.005836035156253,55.898406445312496 -21.005836035156253,55.898406445312496 -21.093726562500002,55.72262529296875 -21.093726562500002))
POLYGON ((55.546844140624998 -21.005836035156253,55.546844140624998 -20.917945507812501,55.72262529296875 -20.917945507812501,55.72262529296875 -21.005836035156253,55.546844140624998 -21.005836035156253))
POLYGON ((55.72262529296875 -21.005836035156253,55.72262529296875 -20.917945507812501,55.898406445312496 -20.917945507812501,55.898406445312496 -21.005836035156253,55.72262529296875 -21.005836035156253))
POLYGON ((55.898406445312496 -21.093726562500002,55.898406445312496 -20.917945507812501,56.24996875 -20.917945507812501,56.24996875 -21.093726562500002,55.898406445312496 -21.093726562500002))
POLYGON ((55.546844140624998 -20.917945507812501,55.546844140624998 -20.742164453125,55.898406445312496 -20.742164453125,55.898406445312496 -20.917945507812501,55.546844140624998 -20.917945507812501))
POLYGON ((55.898406445312496 -20.917945507812501,55.898406445312496 -20.742164453125,56.24996875 -20.742164453125,56.24996875 -20.917945507812501,55.898406445312496 -20.917945507812501))
POLYGON ((54.843719531249995 -20.742164453125,54.843719531249995 -20.39060234375,55.546844140624998 -20.39060234375,55.546844140624998 -20.742164453125,54.843719531249995 -20.742164453125))
POLYGON ((55.546844140624998 -20.742164453125,55.546844140624998 -20.39060234375,56.24996875 -20.39060234375,56.24996875 -20.742164453125,55.546844140624998 -20.742164453125))
POLYGON ((53.437470312499997 -20.39060234375,53.437470312499997 -19.687478125,54.843719531249995 -19.687478125,54.843719531249995 -20.39060234375,53.437470312499997 -20.39060234375))
POLYGON ((54.843719531249995 -20.39060234375,54.843719531249995 -19.687478125,56.24996875 -19.687478125,56.24996875 -20.39060234375,54.843719531249995 -20.39060234375))
POLYGON ((44.999975 -19.687478125,44.999975 -16.87498125,50.624971875 -16.87498125,50.624971875 -19.687478125,44.999975 -19.687478125))
POLYGON ((50.624971875 -19.687478125,50.624971875 -16.87498125,56.24996875 -16.87498125,56.24996875 -19.687478125,50.624971875 -19.687478125))
POLYGON ((56.24996875 -22.499975,56.24996875 -16.87498125,67.499962499999981 -16.87498125,67.499962499999981 -22.499975,56.24996875 -22.499975))
POLYGON ((44.999975 -16.87498125,44.999975 -11.2499875,56.24996875 -11.2499875,56.24996875 -16.87498125,44.999975 -16.87498125))
POLYGON ((56.24996875 -16.87498125,56.24996875 -11.2499875,67.499962499999981 -11.2499875,67.499962499999981 -16.87498125,56.24996875 -16.87498125))
POLYGON ((67.499962499999981 -22.499975,67.499962499999981 -11.2499875,89.99995 -11.2499875,89.99995 -22.499975,67.499962499999981 -22.499975))
POLYGON ((44.999975 -11.2499875,44.999975 -0.0,67.499962499999981 -0.0,67.499962499999981 -11.2499875,44.999975 -11.2499875))
POLYGON ((67.499962499999981 -11.2499875,67.499962499999981 -0.0,89.99995 -0.0,89.99995 -11.2499875,67.499962499999981 -11.2499875))
POLYGON ((89.99995 -44.99995,89.99995 -0.0,179.9999 -0.0,179.9999 -44.99995,89.99995 -44.99995))
POLYGON ((-179.9999 -0.0,-179.9999 44.99995,-89.99995 44.99995,-89.99995 -0.0,-179.9999 -0.0))
POLYGON ((-89.99995 -0.0,-89.99995 11.2499875,-67.4999625 11.2499875,-67.4999625 -0.0,-89.99995 -0.0))
POLYGON ((-67.4999625 -0.0,-67.4999625 5.62499375,-56.249968749999987 5.62499375,-56.249968749999987 -0.0,-67.4999625 -0.0))
POLYGON ((-56.249968749999987 -0.0,-56.249968749999987 2.812496875,-50.62497187499999 2.812496875,-50.62497187499999 -0.0,-56.249968749999987 -0.0))
POLYGON ((-50.62497187499999 -0.0,-50.62497187499999 2.812496875,-44.999975 2.812496875,-44.999975 -0.0,-50.62497187499999 -0.0))
POLYGON ((-56.249968749999987 2.812496875,-56.249968749999987 4.218745312499999,-53.437470312499997 4.218745312499999,-53.437470312499997 2.812496875,-56.249968749999987 2.812496875))
POLYGON ((-53.437470312499997 2.812496875,-53.437470312499997 4.218745312499999,-50.62497187499999 4.218745312499999,-50.62497187499999 2.812496875,-53.437470312499997 2.812496875))
POLYGON ((-56.249968749999987 4.218745312499999,-56.249968749999987 4.92186953125,-54.843719531249981 4.92186953125,-54.843719531249981 4.218745312499999,-56.249968749999987 4.218745312499999))
POLYGON ((-54.843719531249981 4.218745312499999,-54.843719531249981 4.92186953125,-53.437470312499997 4.92186953125,-53.437470312499997 4.218745312499999,-54.843719531249981 4.218745312499999))
POLYGON ((-56.249968749999987 4.92186953125,-56.249968749999987 5.62499375,-54.843719531249981 5.62499375,-54.843719531249981 4.92186953125,-56.249968749999987 4.92186953125))
POLYGON ((-54.843719531249981 4.92186953125,-54.843719531249981 5.273431640625,-54.140594921874992 5.273431640625,-54.140594921874992 4.92186953125,-54.843719531249981 4.92186953125))
POLYGON ((-54.140594921874992 4.92186953125,-54.140594921874992 5.273431640625,-53.437470312499997 5.273431640625,-53.437470312499997 4.92186953125,-54.140594921874992 4.92186953125))
POLYGON ((-54.843719531249981 5.273431640625,-54.843719531249981 5.62499375,-54.140594921874992 5.62499375,-54.140594921874992 5.273431640625,-54.843719531249981 5.273431640625))
POLYGON ((-54.140594921874992 5.273431640625,-54.140594921874992 5.449212695312499,-53.789032617187502 5.449212695312499,-53.789032617187502 5.273431640625,-54.140594921874992 5.273431640625))
POLYGON ((-53.789032617187502 5.273431640625,-53.789032617187502 5.449212695312499,-53.437470312499997 5.449212695312499,-53.437470312499997 5.273431640625,-53.789032617187502 5.273431640625))
POLYGON ((-54.140594921874992 5.449212695312499,-54.140594921874992 5.62499375,-53.789032617187502 5.62499375,-53.789032617187502 5.449212695312499,-54.140594921874992 5.449212695312499))
POLYGON ((-53.789032617187502 5.449212695312499,-53.789032617187502 5.62499375,-53.437470312499997 5.62499375,-53.437470312499997 5.449212695312499,-53.789032617187502 5.449212695312499))
POLYGON ((-53.437470312499997 4.218745312499999,-53.437470312499997 4.92186953125,-52.031221093749998 4.92186953125,-52.031221093749998 4.218745312499999,-53.437470312499997 4.218745312499999))
POLYGON ((-52.031221093749998 4.218745312499999,-52.031221093749998 4.92186953125,-50.62497187499999 4.92186953125,-50.62497187499999 4.218745312499999,-52.031221093749998 4.218745312499999))
POLYGON ((-53.437470312499997 4.92186953125,-53.437470312499997 5.273431640625001,-52.734345703124987 5.273431640625001,-52.734345703124987 4.92186953125,-53.437470312499997 4.92186953125))
POLYGON ((-52.734345703124987 4.92186953125,-52.734345703124987 5.273431640625001,-52.031221093749998 5.273431640625001,-52.031221093749998 4.92186953125,-52.734345703124987 4.92186953125))
POLYGON ((-53.437470312499997 5.273431640625001,-53.437470312499997 5.62499375,-52.734345703124987 5.62499375,-52.734345703124987 5.273431640625001,-53.437470312499997 5.273431640625001))
POLYGON ((-52.734345703124987 5.273431640625001,-52.734345703124987 5.62499375,-52.031221093749998 5.62499375,-52.031221093749998 5.273431640625001,-52.734345703124987 5.273431640625001))
POLYGON ((-52.031221093749998 4.92186953125,-52.031221093749998 5.62499375,-50.62497187499999 5.62499375,-50.62497187499999 4.92186953125,-52.031221093749998 4.92186953125))
POLYGON ((-50.62497187499999 2.812496875,-50.62497187499999 5.62499375,-44.999975 5.62499375,-44.999975 2.812496875,-50.62497187499999 2.812496875))
POLYGON ((-67.4999625 5.62499375,-67.4999625 11.2499875,-56.249968749999987 11.2499875,-56.249968749999987 5.62499375,-67.4999625 5.62499375))
POLYGON ((-56.249968749999987 5.62499375,-56.249968749999987 11.2499875,-44.999975 11.2499875,-44.999975 5.62499375,-56.249968749999987 5.62499375))
POLYGON ((-89.99995 11.2499875,-89.99995 22.499975,-67.4999625 22.499975,-67.4999625 11.2499875,-89.99995 11.2499875))
POLYGON ((-67.4999625 11.2499875,-67.4999625 14.062484375,-61.874965625 14.062484375,-61.874965625 11.2499875,-67.4999625 11.2499875))
POLYGON ((-61.874965625 11.2499875,-61.874965625 14.062484375,-56.249968749999987 14.062484375,-56.249968749999987 11.2499875,-61.874965625 11.2499875))
POLYGON ((-67.4999625 14.062484375,-67.4999625 16.87498125,-61.874965625 16.87498125,-61.874965625 14.062484375,-67.4999625 14.062484375))
POLYGON ((-61.874965625 14.062484375,-61.874965625 14.414046484375001,-61.171841015625006 14.414046484375001,-61.171841015625006 14.062484375,-61.874965625 14.062484375))
POLYGON ((-61.171841015625006 14.062484375,-61.171841015625006 14.414046484375001,-60.468716406249996 14.414046484375001,-60.468716406249996 14.062484375,-61.171841015625006 14.062484375))
POLYGON ((-61.874965625 14.414046484375001,-61.874965625 14.765608593750002,-61.171841015625006 14.765608593750002,-61.171841015625006 14.414046484375001,-61.874965625 14.414046484375001))
POLYGON ((-61.171841015625006 14.414046484375001,-61.171841015625006 14.50193701171875,-60.996059863281253 14.50193701171875,-60.996059863281253 14.414046484375001,-61.171841015625006 14.414046484375001))
POLYGON ((-60.996059863281253 14.414046484375001,-60.996059863281253 14.50193701171875,-60.820278710937501 14.50193701171875,-60.820278710937501 14.414046484375001,-60.996059863281253 14.414046484375001))
POLYGON ((-61.171841015625006 14.50193701171875,-61.171841015625006 14.589827539062501,-60.996059863281253 14.589827539062501,-60.996059863281253 14.50193701171875,-61.171841015625006 14.50193701171875))
POLYGON ((-60.996059863281253 14.50193701171875,-60.996059863281253 14.589827539062501,-60.820278710937501 14.589827539062501,-60.820278710937501 14.50193701171875,-60.996059863281253 14.50193701171875))
POLYGON ((-60.820278710937501 14.414046484375001,-60.820278710937501 14.589827539062501,-60.468716406249996 14.589827539062501,-60.468716406249996 14.414046484375001,-60.820278710937501 14.414046484375001))
POLYGON ((-61.171841015625006 14.589827539062501,-61.171841015625006 14.67771806640625,-60.996059863281246 14.67771806640625,-60.996059863281246 14.589827539062501,-61.171841015625006 14.589827539062501))
POLYGON ((-60.996059863281246 14.589827539062501,-60.996059863281246 14.67771806640625,-60.820278710937501 14.67771806640625,-60.820278710937501 14.589827539062501,-60.996059863281246 14.589827539062501))
POLYGON ((-61.171841015625006 14.67771806640625,-61.171841015625006 14.765608593750002,-60.996059863281246 14.765608593750002,-60.996059863281246 14.67771806640625,-61.171841015625006 14.67771806640625))
POLYGON ((-60.996059863281246 14.67771806640625,-60.996059863281246 14.765608593750002,-60.820278710937501 14.765608593750002,-60.820278710937501 14.67771806640625,-60.996059863281246 14.67771806640625))
POLYGON ((-60.820278710937501 14.589827539062501,-60.820278710937501 14.765608593750002,-60.468716406249996 14.765608593750002,-60.468716406249996 14.589827539062501,-60.820278710937501 14.589827539062501))
POLYGON ((-60.468716406249996 14.062484375,-60.468716406249996 14.765608593750002,-59.062467187499998 14.765608593750002,-59.062467187499998 14.062484375,-60.468716406249996 14.062484375))
POLYGON ((-61.874965625 14.765608593750002,-61.874965625 15.468732812499997,-60.468716406249996 15.468732812499997,-60.468716406249996 14.765608593750002,-61.874965625 14.765608593750002))
POLYGON ((-60.468716406249996 14.765608593750002,-60.468716406249996 15.468732812499997,-59.062467187499998 15.468732812499997,-59.062467187499998 14.765608593750002,-60.468716406249996 14.765608593750002))
POLYGON ((-59.062467187499998 14.062484375,-59.062467187499998 15.468732812499997,-56.249968749999987 15.468732812499997,-56.249968749999987 14.062484375,-59.062467187499998 14.062484375))
POLYGON ((-61.874965625 15.468732812499997,-61.874965625 15.820294921874996,-61.171841015625006 15.820294921874996,-61.171841015625006 15.468732812499997,-61.874965625 15.468732812499997))
POLYGON ((-61.171841015625006 15.468732812499997,-61.171841015625006 15.820294921874996,-60.468716406250003 15.820294921874996,-60.468716406250003 15.468732812499997,-61.171841015625006 15.468732812499997))
POLYGON ((-61.874965625 15.820294921874996,-61.874965625 15.996075976562498,-61.523403320312504 15.996075976562498,-61.523403320312504 15.820294921874996,-61.874965625 15.820294921874996))
POLYGON ((-61.523403320312504 15.820294921874996,-61.523403320312504 15.996075976562498,-61.171841015625006 15.996075976562498,-61.171841015625006 15.820294921874996,-61.523403320312504 15.820294921874996))
POLYGON ((-61.874965625 15.996075976562498,-61.874965625 16.171857031249999,-61.523403320312504 16.171857031249999,-61.523403320312504 15.996075976562498,-61.874965625 15.996075976562498))
POLYGON ((-61.523403320312504 15.996075976562498,-61.523403320312504 16.171857031249999,-61.171841015625006 16.171857031249999,-61.171841015625006 15.996075976562498,-61.523403320312504 15.996075976562498))
POLYGON ((-61.171841015625006 15.820294921874996,-61.171841015625006 16.171857031249999,-60.468716406250003 16.171857031249999,-60.468716406250003 15.820294921874996,-61.171841015625006 15.820294921874996))
POLYGON ((-60.468716406250003 15.468732812499997,-60.468716406250003 16.171857031249999,-59.062467187499998 16.171857031249999,-59.062467187499998 15.468732812499997,-60.468716406250003 15.468732812499997))
POLYGON ((-61.874965625 16.171857031249999,-61.874965625 16.259747558593748,-61.699184472656256 16.259747558593748,-61.699184472656256 16.171857031249999,-61.874965625 16.171857031249999))
POLYGON ((-61.699184472656256 16.171857031249999,-61.699184472656256 16.259747558593748,-61.523403320312504 16.259747558593748,-61.523403320312504 16.171857031249999,-61.699184472656256 16.171857031249999))
POLYGON ((-61.874965625 16.259747558593748,-61.874965625 16.347638085937497,-61.699184472656256 16.347638085937497,-61.699184472656256 16.259747558593748,-61.874965625 16.259747558593748))
POLYGON ((-61.699184472656256 16.259747558593748,-61.699184472656256 16.347638085937497,-61.523403320312504 16.347638085937497,-61.523403320312504 16.259747558593748,-61.699184472656256 16.259747558593748))
POLYGON ((-61.523403320312504 16.171857031249999,-61.523403320312504 16.259747558593748,-61.347622167968744 16.259747558593748,-61.347622167968744 16.171857031249999,-61.523403320312504 16.171857031249999))
POLYGON ((-61.347622167968744 16.171857031249999,-61.347622167968744 16.259747558593748,-61.171841015624999 16.259747558593748,-61.171841015624999 16.171857031249999,-61.347622167968744 16.171857031249999))
POLYGON ((-61.523403320312504 16.259747558593748,-61.523403320312504 16.347638085937497,-61.347622167968744 16.347638085937497,-61.347622167968744 16.259747558593748,-61.523403320312504 16.259747558593748))
POLYGON ((-61.347622167968744 16.259747558593748,-61.347622167968744 16.347638085937497,-61.171841015624999 16.347638085937497,-61.171841015624999 16.259747558593748,-61.347622167968744 16.259747558593748))
POLYGON ((-61.874965625 16.347638085937497,-61.874965625 16.523419140624998,-61.523403320312504 16.523419140624998,-61.523403320312504 16.347638085937497,-61.874965625 16.347638085937497))
POLYGON ((-61.523403320312504 16.347638085937497,-61.523403320312504 16.523419140624998,-61.171841015624999 16.523419140624998,-61.171841015624999 16.347638085937497,-61.523403320312504 16.347638085937497))
POLYGON ((-61.171841015624999 16.171857031249999,-61.171841015624999 16.523419140624998,-60.468716406250003 16.523419140624998,-60.468716406250003 16.171857031249999,-61.171841015624999 16.171857031249999))
POLYGON ((-61.874965625 16.523419140624998,-61.874965625 16.87498125,-61.171841015624999 16.87498125,-61.171841015624999 16.523419140624998,-61.874965625 16.523419140624998))
POLYGON ((-61.171841015624999 16.523419140624998,-61.171841015624999 16.87498125,-60.468716406250003 16.87498125,-60.468716406250003 16.523419140624998,-61.171841015624999 16.523419140624998))
POLYGON ((-60.468716406250003 16.171857031249999,-60.468716406250003 16.87498125,-59.062467187499998 16.87498125,-59.062467187499998 16.171857031249999,-60.468716406250003 16.171857031249999))
POLYGON ((-59.062467187499998 15.468732812499997,-59.062467187499998 16.87498125,-56.249968749999987 16.87498125,-56.249968749999987 15.468732812499997,-59.062467187499998 15.468732812499997))
POLYGON ((-56.249968749999987 11.2499875,-56.249968749999987 16.87498125,-44.999975 16.87498125,-44.999975 11.2499875,-56.249968749999987 11.2499875))
POLYGON ((-67.4999625 16.87498125,-67.4999625 22.499975,-56.249968749999987 22.499975,-56.249968749999987 16.87498125,-67.4999625 16.87498125))
POLYGON ((-56.249968749999987 16.87498125,-56.249968749999987 22.499975,-44.999975 22.499975,-44.999975 16.87498125,-56.249968749999987 16.87498125))
POLYGON ((-44.999975 -0.0,-44.999975 22.499975,-0.0 22.499975,0 0,-44.999975 -0.0))
POLYGON ((-89.99995 22.499975,-89.99995 44.99995,-44.999975 44.99995,-44.999975 22.499975,-89.99995 22.499975))
POLYGON ((-44.999975 22.499975,-44.999975 33.7499625,-22.4999875 33.7499625,-22.4999875 22.499975,-44.999975 22.499975))
POLYGON ((-22.4999875 22.499975,-22.4999875 25.312471875,-16.874990625 25.312471875,-16.874990625 22.499975,-22.4999875 22.499975))
POLYGON ((-16.874990625 22.499975,-16.874990625 25.312471875,-11.24999375 25.312471875,-11.24999375 22.499975,-16.874990625 22.499975))
POLYGON ((-22.4999875 25.312471875,-22.4999875 28.12496875,-16.874990625 28.12496875,-16.874990625 25.312471875,-22.4999875 25.312471875))
POLYGON ((-16.874990625 25.312471875,-16.874990625 26.718720312499997,-14.062492187499998 26.718720312499997,-14.062492187499998 25.312471875,-16.874990625 25.312471875))
POLYGON ((-14.062492187499998 25.312471875,-14.062492187499998 26.718720312499997,-11.24999375 26.718720312499997,-11.24999375 25.312471875,-14.062492187499998 25.312471875))
POLYGON ((-16.874990625 26.718720312499997,-16.874990625 27.421844531249995,-15.46874140625 27.421844531249995,-15.46874140625 26.718720312499997,-16.874990625 26.718720312499997))
POLYGON ((-15.46874140625 26.718720312499997,-15.46874140625 27.421844531249995,-14.062492187499998 27.421844531249995,-14.062492187499998 26.718720312499997,-15.46874140625 26.718720312499997))
POLYGON ((-16.874990625 27.421844531249995,-16.874990625 27.773406640624994,-16.171866015625 27.773406640624994,-16.171866015625 27.421844531249995,-16.874990625 27.421844531249995))
POLYGON ((-16.171866015625 27.421844531249995,-16.171866015625 27.773406640624994,-15.46874140625 27.773406640624994,-15.46874140625 27.421844531249995,-16.171866015625 27.421844531249995))
POLYGON ((-16.874990625 27.773406640624994,-16.874990625 28.12496875,-16.171866015625 28.12496875,-16.171866015625 27.773406640624994,-16.874990625 27.773406640624994))
POLYGON ((-16.171866015625 27.773406640624994,-16.171866015625 27.949187695312496,-15.8203037109375 27.949187695312496,-15.8203037109375 27.773406640624994,-16.171866015625 27.773406640624994))
POLYGON ((-15.8203037109375 27.773406640624994,-15.8203037109375 27.949187695312496,-15.46874140625 27.949187695312496,-15.46874140625 27.773406640624994,-15.8203037109375 27.773406640624994))
POLYGON ((-16.171866015625 27.949187695312496,-16.171866015625 28.12496875,-15.8203037109375 28.12496875,-15.8203037109375 27.949187695312496,-16.171866015625 27.949187695312496))
POLYGON ((-15.8203037109375 27.949187695312496,-15.8203037109375 28.037078222656252,-15.644522558593751 28.037078222656252,-15.644522558593751 27.949187695312496,-15.8203037109375 27.949187695312496))
POLYGON ((-15.644522558593751 27.949187695312496,-15.644522558593751 28.037078222656252,-15.46874140625 28.037078222656252,-15.46874140625 27.949187695312496,-15.644522558593751 27.949187695312496))
POLYGON ((-15.8203037109375 28.037078222656252,-15.8203037109375 28.12496875,-15.644522558593751 28.12496875,-15.644522558593751 28.037078222656252,-15.8203037109375 28.037078222656252))
POLYGON ((-15.644522558593751 28.037078222656252,-15.644522558593751 28.12496875,-15.46874140625 28.12496875,-15.46874140625 28.037078222656252,-15.644522558593751 28.037078222656252))
POLYGON ((-15.46874140625 27.421844531249995,-15.46874140625 27.773406640624994,-14.765616796874999 27.773406640624994,-14.765616796874999 27.421844531249995,-15.46874140625 27.421844531249995))
POLYGON ((-14.765616796874999 27.421844531249995,-14.765616796874999 27.773406640624994,-14.062492187499998 27.773406640624994,-14.062492187499998 27.421844531249995,-14.765616796874999 27.421844531249995))
POLYGON ((-15.46874140625 27.773406640624994,-15.46874140625 28.12496875,-14.765616796874999 28.12496875,-14.765616796874999 27.773406640624994,-15.46874140625 27.773406640624994))
POLYGON ((-14.765616796874999 27.773406640624994,-14.765616796874999 28.12496875,-14.062492187499998 28.12496875,-14.062492187499998 27.773406640624994,-14.765616796874999 27.773406640624994))
POLYGON ((-14.062492187499998 26.718720312499997,-14.062492187499998 28.12496875,-11.24999375 28.12496875,-11.24999375 26.718720312499997,-14.062492187499998 26.718720312499997))
POLYGON ((-11.24999375 22.499975,-11.24999375 28.12496875,-0.0 28.12496875,-0.0 22.499975,-11.24999375 22.499975))
POLYGON ((-22.4999875 28.12496875,-22.4999875 29.531217187499998,-19.687489062499999 29.531217187499998,-19.687489062499999 28.12496875,-22.4999875 28.12496875))
POLYGON ((-19.687489062499999 28.12496875,-19.687489062499999 28.828092968750003,-18.281239843750001 28.828092968750003,-18.281239843750001 28.12496875,-19.687489062499999 28.12496875))
POLYGON ((-18.281239843750001 28.12496875,-18.281239843750001 28.476530859375004,-17.578115234375002 28.476530859375004,-17.578115234375002 28.12496875,-18.281239843750001 28.12496875))
POLYGON ((-17.578115234375002 28.12496875,-17.578115234375002 28.476530859375004,-16.874990625 28.476530859375004,-16.874990625 28.12496875,-17.578115234375002 28.12496875))
POLYGON ((-18.281239843750001 28.476530859375004,-18.281239843750001 28.652311914062501,-17.929677539062499 28.652311914062501,-17.929677539062499 28.476530859375004,-18.281239843750001 28.476530859375004))
POLYGON ((-17.929677539062499 28.476530859375004,-17.929677539062499 28.652311914062501,-17.578115234375002 28.652311914062501,-17.578115234375002 28.476530859375004,-17.929677539062499 28.476530859375004))
POLYGON ((-18.281239843750001 28.652311914062501,-18.281239843750001 28.828092968750003,-17.929677539062499 28.828092968750003,-17.929677539062499 28.652311914062501,-18.281239843750001 28.652311914062501))
POLYGON ((-17.929677539062499 28.652311914062501,-17.929677539062499 28.828092968750003,-17.578115234375002 28.828092968750003,-17.578115234375002 28.652311914062501,-17.929677539062499 28.652311914062501))
POLYGON ((-17.578115234375002 28.476530859375004,-17.578115234375002 28.828092968750003,-16.874990625 28.828092968750003,-16.874990625 28.476530859375004,-17.578115234375002 28.476530859375004))
POLYGON ((-19.687489062499999 28.828092968750003,-19.687489062499999 29.531217187499998,-18.281239843750001 29.531217187499998,-18.281239843750001 28.828092968750003,-19.687489062499999 28.828092968750003))
POLYGON ((-18.281239843750001 28.828092968750003,-18.281239843750001 29.531217187499998,-16.874990625 29.531217187499998,-16.874990625 28.828092968750003,-18.281239843750001 28.828092968750003))
